pheno	h2g	h2g.se
ala_at	0.2347	0.0129
albumin	0.2492	0.0145
alcohol_freq	0.1556	0.0072
alka_phos	0.3657	0.0399
apo_a	0.3451	0.0285
asp_at	0.2549	0.0185
basal_metabolic	0.4955	0.0147
blood_eosinophil	0.3181	0.0195
blood_lymphocyte	0.333	0.0174
blood_mch	0.3807	0.0283
blood_monocyte	0.3424	0.0225
blood_mpv	0.4834	0.04
blood_mscv	0.3414	0.0234
blood_platelet	0.438	0.0261
blood_platelet_distrib_width	0.3577	0.0256
blood_rbc_count	0.369	0.0201
blood_rbc_distrib_width	0.3171	0.0217
blood_reticulocyte	0.3632	0.019
blood_wbc_count	0.3306	0.0153
bmd_heel_tscore	0.5306	0.0407
bmi	0.4317	0.0123
bp_diastolic	0.2274	0.0086
bp_systolic	0.238	0.0086
calcium	0.2228	0.017
cholesterol	0.2172	0.0243
c_reactive_prot	0.3117	0.0233
creatinine	0.3459	0.0153
creatinine_urine	0.113	0.0058
cystatin_c	0.3836	0.0363
fev1_fvc	0.329	0.0146
fvc	0.4008	0.0143
ggt	0.3345	0.0228
glucose	0.1435	0.0118
hba1c	0.3587	0.0214
hdl	0.3853	0.031
height	0.7186	0.0269
igf1	0.3921	0.019
ldl	0.1916	0.0248
microalbumin	0.0784	0.0143
overall_health	0.1757	0.0067
phosphate	0.1999	0.0157
potassium	0.0713	0.0046
shbg	0.3446	0.0274
sodium	0.1312	0.0065
testosterone	0.1477	0.0147
triglycerides	0.3119	0.0219
urate	0.3167	0.0406
urea	0.205	0.0117
vitamin_d	0.1633	0.0207
whr	0.2558	0.012
