	Tissue	enrich.g	enrich.g.se	enrich.gxe	enrich.gxe.se	p.g	p.gxe	Category
0	Adipose_Subcutaneous	-4.39613	5.7354	0.842836	3.14479	0.7783077688498135	0.39434570884036313	Adipose
1	Adipose_Visceral_(Omentum)	8.97748	6.3699	2.60417	2.95926	0.0793644252569285	0.18942771432602462	Adipose
2	Adrenal_Gland	9.65281	7.77635	-5.99977	3.38644	0.10724683732653056	0.9617781646525497	Endocrine
3	Artery_Aorta	8.82012	5.27114	0.722232	2.76176	0.04713559254341744	0.3968490411749209	Cardiovascular
4	Artery_Coronary	8.19741	5.62183	0.241739	2.92588	0.07240110630016422	0.46707646925492113	Cardiovascular
5	Artery_Tibial	7.71457	5.04842	5.1191	3.26401	0.06324190364949739	0.05840009682473391	Cardiovascular
6	Bladder	1.86789	2.2684	-0.102533	3.00759	0.20512907446508966	0.5135978729813399	Other
7	Brain_Amygdala	-4.4293	3.7322	-2.79525	2.93605	0.8823427784404347	0.8294627710100946	Brain
8	Brain_Anterior_cingulate_cortex_(BA24)	4.95027	5.3043	-0.292329	2.76237	0.1753438938983593	0.5421395710668663	Brain
9	Brain_Caudate_(basal_ganglia)	5.14079	6.17323	-0.299972	2.75244	0.20249137469732814	0.5433924209446575	Brain
10	Brain_Cerebellar_Hemisphere	-5.68092	4.47933	3.23473	2.96002	0.8976460443902854	0.13723931651351912	Brain
11	Brain_Cerebellum	-6.23911	4.26352	1.82938	3.75335	0.9283170063087767	0.31298771011212656	Brain
12	Brain_Cortex	5.32754	5.38825	1.25303	2.97067	0.16139692294953223	0.3365853315831741	Brain
13	Brain_Frontal_Cortex_(BA9)	5.24111	5.32375	1.60943	2.86926	0.1624404910066124	0.2874254814970996	Brain
14	Brain_Hippocampus	-3.71185	3.91446	1.38809	2.8007	0.8284965152139363	0.31008037951418704	Brain
15	Brain_Hypothalamus	-4.63833	3.84831	2.07814	2.85862	0.8859543377225259	0.23362120050859342	Brain
16	Brain_Nucleus_accumbens_(basal_ganglia)	5.07924	6.27374	2.50994	2.94815	0.20908413325579	0.1972844181745696	Brain
17	Brain_Putamen_(basal_ganglia)	5.2672	6.17668	1.60596	2.94197	0.19689735616880988	0.2925745153746147	Brain
18	Brain_Spinal_cord_(cervical_c-1)	-4.87921	3.95859	3.64021	2.79842	0.8911305019616926	0.09666191550160042	Brain
19	Brain_Substantia_nigra	5.24125	6.15842	0.136238	2.85734	0.19736507715402551	0.48098563281321016	Brain
20	Breast_Mammary_Tissue	7.96439	6.69208	0.684819	2.6221	0.11699927023285661	0.39697994973682704	Reproductive
21	Cells_EBV-transformed_lymphocytes	8.5598	6.12736	-0.378745	2.32392	0.08120977735009155	0.5647316416948053	Blood/Immune
22	Cells_Transformed_fibroblasts	-2.95007	5.32381	1.31193	2.73591	0.7102542349728416	0.3157835351276433	Other
23	Cervix_Ectocervix	7.79986	5.1848	1.20767	2.48998	0.0662430020043051	0.3138339422643045	Reproductive
24	Cervix_Endocervix	-4.6667	6.8474	1.80098	2.40137	0.7522315110067147	0.22663330903249773	Reproductive
25	Colon_Sigmoid	-5.41656	5.47071	-3.28397	3.03392	0.8389378262903757	0.8604666111106685	Digestive
26	Colon_Transverse	8.91085	7.95715	0.478701	3.09988	0.13138789141455415	0.43863706318388135	Digestive
27	Esophagus_Gastroesophageal_Junction	-6.57782	5.80682	2.39451	3.99323	0.8713456047062953	0.27437229339881136	Digestive
28	Esophagus_Mucosa	10.3875	7.03431	-2.53781	3.92826	0.06987928612466619	0.740873019812328	Digestive
29	Esophagus_Muscularis	-6.39986	5.70747	3.04282	3.11046	0.8689226615803726	0.1639743523464655	Digestive
30	Fallopian_Tube	-3.45203	4.91211	5.1071	3.12338	0.7588970549008701	0.05101198424752358	Reproductive
31	Heart_Atrial_Appendage	-3.91027	4.25178	-0.454118	2.74645	0.8211295642923754	0.5656646712435096	Cardiovascular
32	Heart_Left_Ventricle	4.96196	7.7688	-0.00808412	2.94986	0.26150790726116363	0.5010933038282783	Cardiovascular
33	Kidney_Cortex	10.1442	6.51376	5.18275	5.5976	0.059693780500501656	0.17725212513254135	Other
34	Liver	17.2206	5.64702	1.53219	2.84677	0.0011461047124801318	0.2952124111350997	Liver
35	Lung	9.95148	6.12198	4.32628	3.01581	0.052024528065786516	0.07571006058104854	Lung
36	Minor_Salivary_Gland	6.89035	7.45444	1.72361	2.69635	0.17765770120038038	0.2613339828978738	Other
37	Muscle_Skeletal	-4.60734	6.72341	-3.06536	2.94273	0.7534126963977684	0.8512181563546515	Musculoskeletal/connective
38	Nerve_Tibial	-3.30985	5.41512	6.54141	3.0649	0.7294742717002548	0.016409196648033926	Other
39	Ovary	8.91827	5.2001	0.509865	2.70871	0.04317087706895884	0.42534752455212976	Reproductive
40	Pancreas	11.463	7.89079	4.39709	3.48608	0.07315266459970862	0.1035953648096381	Other
41	Pituitary	-1.41855	4.8954	0.87374	3.15042	0.6140046768093645	0.3907592173355249	Endocrine
42	Prostate	10.1815	8.53026	10.8461	3.91901	0.11632224557331544	0.0028238720622034037	Reproductive
43	Skin_Not_Sun_Exposed_(Suprapubic)	5.98404	2.44862	-3.0757	3.3948	0.007265897816467625	0.8175329468939039	Skin
44	Skin_Sun_Exposed_(Lower_leg)	6.35148	2.31976	-1.42072	3.18925	0.0030907964905048397	0.6720104764066751	Skin
45	Small_Intestine_Terminal_Ileum	8.66329	8.38377	0.362034	2.97694	0.15072226466951005	0.45160283907682425	Digestive
46	Spleen	0.266373	3.19607	-1.62494	3.40124	0.46678903961752427	0.6835856716529992	Blood/Immune
47	Stomach	10.5207	6.61124	2.07072	3.23834	0.05576706128745896	0.26126878185078284	Digestive
48	Testis	-3.18711	4.23227	4.07286	3.31257	0.7742900001119946	0.1094390778321791	Endocrine
49	Thyroid	8.61732	7.20013	-0.837329	3.68955	0.11568672499500399	0.5897671745009229	Endocrine
50	Uterus	-4.35486	7.0287	3.72235	3.03901	0.7322336770340854	0.11031471775170287	Reproductive
51	Vagina	4.32189	2.58275	4.09243	3.10707	0.04712748246970575	0.09389672322866549	Reproductive
52	Whole_Blood	10.6751	9.20886	4.8288	2.88134	0.12318314306747968	0.046880172733333066	Blood/Immune
