h2gxe.se	h2gxe.se.se	true.se	sample.size	true.gxe
0.02327030293060275	0.002363064932048208	0.02327030293060275	30k	0.1
0.015758903642431602	0.0012728951034016904	0.015758903642431602	50k	0.1
0.008280799498170451	0.000752151519330055	0.008280799498170451	100k	0.1
0.003839709363880943	0.0008712494857197393	0.003839709363880943	300k	0.1
0.02023841490135965	0.001713020080541673	0.02023841490135965	30k	0.05
0.011933944703185949	0.0008526011592831668	0.011933944703185949	50k	0.05
0.005703497764927326	0.0006228184165204171	0.005703497764927326	100k	0.05
0.0027228171516692047	0.00023290897212591445	0.0027228171516692047	300k	0.05
0.016828491607442268	0.0013417561164276465	0.016828491607442268	30k	0.01
0.009979533253913727	0.0008274360695061523	0.009979533253913727	50k	0.01
0.005780325194402627	0.00041132518310947125	0.005780325194402627	100k	0.01
0.0019721029644133594	0.0001381970147208687	0.0019721029644133594	300k	0.01
0.016251455562623137	0.0013029654281292347	0.016251455562623137	30k	0.005
0.010281156119521895	0.0008335816638552637	0.010281156119521895	50k	0.005
0.005069283421235228	0.00042203892440394647	0.005069283421235228	100k	0.005
0.0016091138550341894	0.00014606795209391415	0.0016091138550341894	300k	0.005
